order_id,quantity,unit_price,ORDERLINENUMBER,total_price,order_date,STATUS,QTR_ID,MONTH_ID,YEAR_ID,category,MSRP,product,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,region,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,order_year
10107,0.2637362637362638,0.9411925601750548,2,0.17564355285438144,2003-02-24,Shipped,1,2,2003,1,95,0,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,1,Yu,Kwai,Small,2003
10121,0.3076923076923077,0.7449398249452954,5,0.16791599237390512,2003-05-07,Shipped,2,5,2003,1,95,0,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,1,Henriot,Paul,Small,2003
10134,0.38461538461538464,0.9280634573304156,2,0.250150176425132,2003-07-01,Shipped,3,7,2003,1,95,0,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,1,Da Cunha,Daniel,Medium,2003
10145,0.4285714285714286,0.7710612691466083,6,0.24003008675307907,2003-08-25,Shipped,3,8,2003,1,95,0,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,1,Young,Julie,Medium,2003
10159,0.4725274725274726,1.0,14,0.3472725975999712,2003-10-10,Shipped,4,10,2003,1,95,0,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,1,Brown,Julie,Medium,2003
10168,0.3296703296703297,0.9543216630196936,1,0.22040311249372274,2003-10-28,Shipped,4,10,2003,1,95,0,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,1,Hirano,Juri,Medium,2003
10180,0.2527472527472528,0.8103118161925602,9,0.14820152242499818,2003-11-11,Shipped,4,11,2003,1,95,0,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,1,Rance,Martine,Small,2003
10188,0.46153846153846156,1.0,1,0.3698486912777091,2003-11-18,Shipped,4,11,2003,1,95,0,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,1,Oeztan,Veysel,Medium,2003
10201,0.17582417582417587,0.9804431072210065,2,0.12399462673530054,2003-12-01,Shipped,4,12,2003,1,95,0,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,1,Murphy,Julie,Small,2003
10211,0.38461538461538464,1.0,14,0.3107427795836528,2004-01-15,Shipped,1,1,2004,1,95,0,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,1,Perrier,Dominique,Medium,2004
